,temperature,output
0,0.0,"out . 
 cersei : you think i'm the king ? 
 cersei : i don't . 
 cersei : you can't be . 
 cersei : i don't know . 
 cersei : i don't know . 
 cersei : you can't . 
 cersei : i don't know . 
 cersei : i don't know . 
 cersei : i don't know . 
 cersei : i don't know . 
 cersei : i don't know . 
 cersei : i don't know . 
 cersei : you can't . 
 cersei : i don't know . 
 "
1,0.1,"out . 
 cersei : you think i'm the king ? 
 cersei : i don't . 
 cersei : you can't be a queen . 
 cersei : i don't care what you think . 
 cersei : you can't . 
 cersei : i don't know . 
 cersei : i don't know . 
 cersei : i don't know . 
 cersei : you can't . 
 cersei : i don't know . 
 cersei : you can't tell me anything . 
 cersei : i don't know . 
 cersei : i don't know . 
 "
2,0.2,"out of the room . 
 cersei : you should be proud to be . 
 cersei : i don't think i am . 
 cersei : i don't know . 
 cersei : you can't trust me . 
 cersei : i don't know . 
 cersei : i don't know . 
 cersei : i don't know . 
 cersei : i can't . 
 cersei : you can't tell me anything . 
 cersei : i don't know . 
 cersei : you can't . 
 cersei : and you will . 
 cersei : i don't "
3,0.30000000000000004,"out of the room . 
 cersei : i have a bit harder . 
 olenna : you can't mean it . 
 cersei : and you will . 
 cersei : you think i'm a queen . 
 cersei : why ? what ? 
 tommen : i don't know . 
 cersei : you can't trust anyone in king's landing . 
 cersei : i will not . 
 cersei : i don't know how to do it . 
 cersei : i would like to speak with stannis . 
 jaime : i don't think i am "
4,0.4,"out of his room . 
 cersei : i don't need to be afraid . 
 cersei : i don't need to speak with you . 
 cersei : i don't know what i am . 
 cersei : you can't be a queen . 
 cersei : you can't help me help . 
 margaery : i don't want you to be a man of the world . 
 olenna : and yet . 
 cersei : perhaps you should be married here . 
 tyrion : you can't . 
 tyrion : i can't . 
 tyrion : "
5,0.5,"out . 
 cersei : you should be proud of your life . 
 cersei : may i ask the king to do ? 
 lancel : he is the only one who put up near you . 
 tyrion : and you ? 
 tyrion : i do not have to make sure you understand how you put it in you and i carry . 
 tyrion : and if i marry the ( off the door ) . you are the king . 
 tyrion : i think you have a choice . 
 tyrion : i don't "
6,0.6,"out and stabs her around . he stares at him . 
 ext : the north 
 the men cheer . 
 int . castle black 
 a white walker , looking to a shot of the lannister camp . sam and gilly watch as sam tries to look around the attack . 
 sam : you can't stop them . 
 sam : and i can't 
 sam : i know how you feel . 
 sam : i didn't . 
 sam : and you're a coward . the word . 
 sam : yes , i think "
7,0.7,"off of his wine . 
 tywin : the girl is a knight , you know who joffrey's valyrian is . 
 tywin : and if he does , jaime would be a knight , cersei , who do is no matter how she will . 
 cersei : the lannisters have stopped with you . if he comes back , we must go get . 
 cersei : i should have killed you once . 
 cersei : i suppose that is the word , but you have all the way to me . 
 tyrion : i asked "
8,0.7999999999999999,"off down the steps . he starts to stand and a bit gold cloak sits down at the gold . 
 cut to : another part of the garden . 
 lord bolton : seven kingdoms . 
 the door opens , and the door opens . 
 int . great sept of baelor 
 qyburn : my lady , may i be born an end in this world , my lady ? 
 cersei : i will do anything . 
 cersei : would you be now ? 
 cersei : this way . 
 cersei : thank you "
9,0.8999999999999999,"child into the room day . 
 varys : though the second sons wanted attacks the littlefinger of the house that she was a coward and one knows how to do is to make his power . 
 dany : no . but you are a lovely fool . and when you came to us and lived on the woods . you should be the first time you saw your king as you bringing them lannisters . do you think you'd marry one ? 
 jaime : it would . 
 jaime lannister : have you ever been a room "
10,0.9999999999999999,"by . joffrey puts his blade and walks forward . joffrey is shocked . everyone cheers . 
 shae : your mother . 
 cersei : bring us some wine . 
 shae : why should i arrive ? 
 tyrion's aunt opens that pours her baby . 
 tyrion : my king's presence is mine , i finally raised you little lady . and you , and how are you there and better missandei from the city , runs a lady valyrian ? 
 missandei : i'll know i'm true to meet you . 
 grey worm : no "
11,1.0999999999999999,"without him . with daenerys’ room . 
 daenerys : ( speaks valyrian ) unsullied ! unsullied ! please . 
 the unsullied boy at their feet and die . karl a daario and the men begin again . one catches up as jorah and viserys is no . 
 wine merchant : all you seven kingdoms , all men from through their gates . now at castle black , might a time trying to set against you in a fortnight . then i show him the slynt to kill me . he can't take an army if it would "
12,1.2,"out . 
 oberyn : move , move . move . 
 tyrion and podrick exit 
 cersei : forward ! 
 tyrion : there's some bad luck to stop them . 
 shae : i have gold , my lady . there's power to send out these new bound now . you'll probably be the last of my friends . 
 shae : she was always much gave you please treason . 
 ros releases the door . 
 int . king's landing . 
 go on the door opens . 
 ros walks by her future with young "
13,1.3,"out to cup his wine . 
 woman : ser man , my cause , my lady . just one more ever said to feels you . 
 daenerys : i'd keep my ass alive stannis who has pieces never learned a thing his knight inside the life . king's landing is right within better than sworn bed . 
 jaime exits . 
 ext . the riverlands 
 ext . king's landing war room . 
 myranda rides with a large . his sparrow oh , we meet draw , she . 
 man : ( singing ) 
 "
14,1.4000000000000001,"bite to an reading . 
 joffrey : please he is forever . . . it is your concern until the boys were filled of your arms the steps to give men could saved to robert baratheon . and as prince robert , you will leave their battle at soon once , best bodies were like winterfell to thoros . he's in no longer has always ] 
 kingsguard : bloody fight for his dornish men . to your lord yourself , kingslayer . listen ! and three old head on this road that wasn't safe in gold . what "
15,1.5000000000000002,"moment to get back into the flames - 
 tyrion : loras sit past me and unsullied die and your next boy , and but you’re one in your red play . our door will be this until a door and doing where vale hate her burn . i’ll need them more than once . strange with all , or cruel on the hunting . where could i died ? come at your feet . burn , don't cut us loose ! 
 the up rider across the other hand . them comes in closer . we begin to follow "
16,1.6000000000000003,"to turn him into young world . 
 oberyn : what in ask of my great guests of westeros , do you better speak ? balcony all are sisters . 
 barristan and commander of the pree comes from this world salt commander . luwin stand before him . way his wall 
 at the hand . 
 ramsay : look the close and your spear through while you're here . you could say who brought them fed . watch that probably to food boat she white , catelyn . it's right . 
 , then you dreams , staring "
17,1.7000000000000004,"out , is morning and his old cloaks . he starts 
 jaime : those arrows come being warrior i fell from foot , isn't for this . all are love you beyond still served as lord stark , prince that couldn't spoke in turn your up to everything else . would again be born than him into death . 
 kevan lannister : only what love was saying . like ask because bran at five castles as it is told you . we'll pray for my children ! they helped it off to bring us one of the blue "
18,1.8000000000000005,"drink to a crowd and speak all melisandre . then walks in , pull out off 
 meryn gets up and march off . janos attacks gilly helps them teach his sword . they'll see jorah approach her men and been meeting cock lets it on camello . when they see the other where in noble pyp kill the white walker pick her baby off around in the promised – the place child . stops black and 000 wights begin to tell he left around to different , onto there is taking their way ] 
 the stark : ghost "
19,1.9000000000000006,"on to joffrey's body out in fear . varys collapses , follows once doesn't look part of someone you can work at sansa working . little whore company enjoying room in her life and moves dress up beside bronn . jaime appears up something far by her hair ) pardon , truth they must end his wars strike ! how prisoners what winter of time . why are threat ! what’s wrong with blood ? yes . or anymore closed and he’s brave and anything men ever having will be far from their place . gold take someone there under "
